fips,county_name,population
10005,"Sussex County, Delaware",240668
11001,"District of Columbia, District of Columbia",670587
12001,"Alachua County, Florida",279729
12003,"Baker County, Florida",27969
12005,"Bay County, Florida",181055
12007,"Bradford County, Florida",27816
12009,"Brevard County, Florida",610723
12011,"Broward County, Florida",1940907
12013,"Calhoun County, Florida",13753
12015,"Charlotte County, Florida",189900
12017,"Citrus County, Florida",155173
12019,"Clay County, Florida",219650
12021,"Collier County, Florida",380221
12023,"Columbia County, Florida",69832
12027,"DeSoto County, Florida",34258
12029,"Dixie County, Florida",16737
12031,"Duval County, Florida",995708
12033,"Escambia County, Florida",321296
12035,"Flagler County, Florida",117515
12037,"Franklin County, Florida",12276
12039,"Gadsden County, Florida",43746
12041,"Gilchrist County, Florida",18070
12043,"Glades County, Florida",12179
12045,"Gulf County, Florida",15002
12047,"Hamilton County, Florida",13492
12049,"Hardee County, Florida",25528
12051,"Hendry County, Florida",39902
12053,"Hernando County, Florida",196621
12055,"Highlands County, Florida",102339
12057,"Hillsborough County, Florida",1468560
12059,"Holmes County, Florida",19529
12061,"Indian River County, Florida",160986
12063,"Jackson County, Florida",47704
12065,"Jefferson County, Florida",14458
12067,"Lafayette County, Florida",8107
12069,"Lake County, Florida",386829
12071,"Lee County, Florida",772902
12073,"Leon County, Florida",294128
12075,"Levy County, Florida",43268
12077,"Liberty County, Florida",7704
12079,"Madison County, Florida",17986
12081,"Manatee County, Florida",405069
12083,"Marion County, Florida",378225
12085,"Martin County, Florida",159399
12086,"Miami-Dade County, Florida",2688237
12087,"Monroe County, Florida",82044
12089,"Nassau County, Florida",91538
12091,"Okaloosa County, Florida",212021
12093,"Okeechobee County, Florida",39870
12095,"Orange County, Florida",1427403
12097,"Osceola County, Florida",393745
12099,"Palm Beach County, Florida",1494805
12101,"Pasco County, Florida",569211
12103,"Pinellas County, Florida",959918
12105,"Polk County, Florida",736229
12107,"Putnam County, Florida",73604
12109,"St. Johns County, Florida",278722
12111,"St. Lucie County, Florida",334682
12113,"Santa Rosa County, Florida",188994
12115,"Sarasota County, Florida",439392
12117,"Seminole County, Florida",471321
12119,"Sumter County, Florida",131832
12121,"Suwannee County, Florida",43881
12123,"Taylor County, Florida",21421
12125,"Union County, Florida",15524
12127,"Volusia County, Florida",558520
12129,"Wakulla County, Florida",33732
12131,"Walton County, Florida",76618
12133,"Washington County, Florida",25014
13001,"Appling County, Georgia",18441
13003,"Atkinson County, Georgia",8265
13005,"Bacon County, Georgia",11138
13007,"Baker County, Georgia",2878
13009,"Baldwin County, Georgia",43778
13011,"Banks County, Georgia",18381
13013,"Barrow County, Georgia",84399
13015,"Bartow County, Georgia",109410
13017,"Ben Hill County, Georgia",17169
13019,"Berrien County, Georgia",18187
13021,"Bibb County, Georgia",156554
13023,"Bleckley County, Georgia",12413
13025,"Brantley County, Georgia",18105
13027,"Brooks County, Georgia",16275
13029,"Bryan County, Georgia",44995
13031,"Bulloch County, Georgia",79829
13033,"Burke County, Georgia",24337
13035,"Butts County, Georgia",25522
13037,"Calhoun County, Georgia",5594
13039,"Camden County, Georgia",55105
13043,"Candler County, Georgia",10946
13045,"Carroll County, Georgia",120060
13047,"Catoosa County, Georgia",68052
13049,"Charlton County, Georgia",12547
13051,"Chatham County, Georgia",296266
13053,"Chattahoochee County, Georgia",9402
13055,"Chattooga County, Georgia",24902
13057,"Cherokee County, Georgia",268567
13059,"Clarke County, Georgia",128864
13061,"Clay County, Georgia",2855
13063,"Clayton County, Georgia",296312
13065,"Clinch County, Georgia",6713
13067,"Cobb County, Georgia",765813
13069,"Coffee County, Georgia",43056
13071,"Colquitt County, Georgia",45813
13073,"Columbia County, Georgia",156921
13075,"Cook County, Georgia",17242
13077,"Coweta County, Georgia",147449
13079,"Crawford County, Georgia",12156
13081,"Crisp County, Georgia",20255
13083,"Dade County, Georgia",16239
13085,"Dawson County, Georgia",27355
13087,"Decatur County, Georgia",29063
13089,"DeKalb County, Georgia",761209
13091,"Dodge County, Georgia",19977
13093,"Dooly County, Georgia",11236
13095,"Dougherty County, Georgia",85038
13097,"Douglas County, Georgia",144735
13099,"Early County, Georgia",10753
13101,"Echols County, Georgia",3707
13103,"Effingham County, Georgia",65314
13105,"Elbert County, Georgia",19570
13107,"Emanuel County, Georgia",22907
13109,"Evans County, Georgia",10759
13111,"Fannin County, Georgia",25436
13113,"Fayette County, Georgia",119259
13115,"Floyd County, Georgia",98541
13117,"Forsyth County, Georgia",253225
13119,"Franklin County, Georgia",23480
13121,"Fulton County, Georgia",1061944
13123,"Gilmer County, Georgia",31519
13125,"Glascock County, Georgia",2903
13127,"Glynn County, Georgia",84566
13129,"Gordon County, Georgia",57785
13131,"Grady County, Georgia",26075
13133,"Greene County, Georgia",19020
13135,"Gwinnett County, Georgia",957977
13137,"Habersham County, Georgia",46326
13139,"Hall County, Georgia",204953
13141,"Hancock County, Georgia",8588
13143,"Haralson County, Georgia",30178
13145,"Harris County, Georgia",34914
13147,"Hart County, Georgia",26110
13149,"Heard County, Georgia",11489
13151,"Henry County, Georgia",240853
13153,"Houston County, Georgia",164117
13155,"Irwin County, Georgia",9487
13157,"Jackson County, Georgia",77033
13159,"Jasper County, Georgia",14882
13161,"Jeff Davis County, Georgia",14791
13163,"Jefferson County, Georgia",15591
13165,"Jenkins County, Georgia",8704
13167,"Johnson County, Georgia",9225
13169,"Jones County, Georgia",28382
13171,"Lamar County, Georgia",18676
13173,"Lanier County, Georgia",9964
13175,"Laurens County, Georgia",49407
13177,"Lee County, Georgia",32968
13179,"Liberty County, Georgia",65550
13181,"Lincoln County, Georgia",7726
13183,"Long County, Georgia",16804
13185,"Lowndes County, Georgia",118257
