country_name,iso3,year,region,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Chile,CHL,1820,Latin America,3,Argentina,ARG,27.549,72.5,2
Chile,CHL,1850,Latin America,1,Peru,PER,24.622,75.4,2
Chile,CHL,1850,Latin America,2,Brazil,BRA,34.567,65.4,2
Chile,CHL,1850,Latin America,3,Argentina,ARG,39.629,60.4,2
Chile,CHL,1870,Latin America,1,Venezuela,VEN,2.23,97.8,2
Chile,CHL,1870,Latin America,2,Peru,PER,10.967,89.0,3
Chile,CHL,1870,Latin America,3,Argentina,ARG,13.659,86.3,3
Chile,CHL,1880,Latin America,1,Venezuela,VEN,3.791,96.2,2
Chile,CHL,1880,Latin America,2,Argentina,ARG,5.649,94.4,2
Chile,CHL,1880,Latin America,3,Uruguay,URY,15.334,84.7,2
Chile,CHL,1890,Latin America,1,Venezuela,VEN,4.097,95.9,2
Chile,CHL,1890,Latin America,2,Uruguay,URY,9.921,90.1,2
Chile,CHL,1890,Latin America,3,Argentina,ARG,17.738,82.3,3
Chile,CHL,1900,Latin America,1,Cuba,CUB,9.354,90.6,2
Chile,CHL,1900,Latin America,2,Venezuela,VEN,14.662,85.3,3
Chile,CHL,1900,Latin America,3,Bolivia,BOL,19.183,80.8,3
Chile,CHL,1910,Latin America,1,Bolivia,BOL,21.777,78.2,3
Chile,CHL,1910,Latin America,2,Venezuela,VEN,22.023,78.0,3
Chile,CHL,1910,Latin America,3,Cuba,CUB,22.173,77.8,3
Chile,CHL,1920,Latin America,1,Jamaica,JAM,9.452,90.5,2
Chile,CHL,1920,Latin America,2,Bolivia,BOL,16.974,83.0,3
Chile,CHL,1920,Latin America,3,Colombia,COL,18.746,81.3,3
Chile,CHL,1930,Latin America,1,Colombia,COL,18.689,81.3,3
Chile,CHL,1930,Latin America,2,Bolivia,BOL,19.504,80.5,3
Chile,CHL,1930,Latin America,3,Venezuela,VEN,19.776,80.2,3
Chile,CHL,1940,Latin America,1,Colombia,COL,16.088,83.9,3
Chile,CHL,1940,Latin America,2,Venezuela,VEN,17.503,82.5,3
Chile,CHL,1940,Latin America,3,Bolivia,BOL,19.207,80.8,3
Chile,CHL,1950,Latin America,1,Argentina,ARG,15.849,84.2,4
Chile,CHL,1950,Latin America,2,Colombia,COL,18.38,81.6,4
Chile,CHL,1950,Latin America,3,Venezuela,VEN,19.087,80.9,3
Chile,CHL,1960,Latin America,1,Colombia,COL,15.043,85.0,4
Chile,CHL,1960,Latin America,2,Uruguay,URY,19.905,80.1,3
Chile,CHL,1960,Latin America,3,Brazil,BRA,21.767,78.2,4
Chile,CHL,1970,Latin America,1,Uruguay,URY,10.861,89.1,3
Chile,CHL,1970,Latin America,2,Colombia,COL,14.346,85.7,4
Chile,CHL,1970,Latin America,3,Argentina,ARG,15.072,84.9,4
Chile,CHL,1980,Latin America,1,Uruguay,URY,5.638,94.4,3
Chile,CHL,1980,Latin America,2,Argentina,ARG,13.621,86.4,4
Chile,CHL,1980,Latin America,3,Colombia,COL,17.259,82.7,4
Chile,CHL,1990,Latin America,1,Uruguay,URY,5.98,94.0,3
Chile,CHL,1990,Latin America,2,Argentina,ARG,11.634,88.4,4
Chile,CHL,1990,Latin America,3,Cuba,CUB,13.664,86.3,3
Chile,CHL,2000,Latin America,1,Uruguay,URY,9.647,90.4,3
Chile,CHL,2000,Latin America,2,Argentina,ARG,12.364,87.6,4
Chile,CHL,2000,Latin America,3,Cuba,CUB,15.583,84.4,3
China,CHN,1820,East Asia,1,Indonesia,IDN,10.509,89.5,2
China,CHN,1820,East Asia,2,Japan,JPN,20.027,80.0,2
China,CHN,1850,East Asia,1,Indonesia,IDN,11.608,88.4,2
China,CHN,1850,East Asia,2,Japan,JPN,21.275,78.7,2
China,CHN,1870,East Asia,1,South Korea,KOR,2.245,97.8,2
China,CHN,1870,East Asia,2,Indonesia,IDN,4.054,95.9,2
China,CHN,1870,East Asia,3,Japan,JPN,12.123,87.9,3
China,CHN,1890,East Asia,1,Indonesia,IDN,12.813,87.2,2
China,CHN,1890,East Asia,2,Philippines,PHL,17.916,82.1,2
China,CHN,1890,East Asia,3,Japan,JPN,24.271,75.7,3
China,CHN,1900,East Asia,1,Japan,JPN,15.549,84.5,2
China,CHN,1910,East Asia,1,Philippines,PHL,10.468,89.5,2
China,CHN,1910,East Asia,2,Japan,JPN,32.598,67.4,2
China,CHN,1930,East Asia,1,South Korea,KOR,5.752,94.2,2
China,CHN,1930,East Asia,2,Philippines,PHL,10.05,90.0,2
China,CHN,1930,East Asia,3,Japan,JPN,33.363,66.6,2
China,CHN,1950,East Asia,1,South Korea,KOR,9.291,90.7,4
China,CHN,1950,East Asia,2,Philippines,PHL,23.863,76.1,4
China,CHN,1950,East Asia,3,Indonesia,IDN,24.931,75.1,3
China,CHN,1960,East Asia,1,Indonesia,IDN,9.689,90.3,3
China,CHN,1960,East Asia,2,South Korea,KOR,17.93,82.1,4
China,CHN,1960,East Asia,3,Philippines,PHL,31.264,68.7,4
China,CHN,1970,East Asia,1,South Korea,KOR,15.135,84.9,4
China,CHN,1970,East Asia,2,Philippines,PHL,18.259,81.7,4
China,CHN,1970,East Asia,3,Indonesia,IDN,26.609,73.4,3
China,CHN,1980,East Asia,1,Philippines,PHL,18.199,81.8,4
China,CHN,1980,East Asia,2,South Korea,KOR,22.733,77.3,4
China,CHN,1980,East Asia,3,Indonesia,IDN,23.436,76.6,3
China,CHN,1990,East Asia,1,Indonesia,IDN,17.767,82.2,3
China,CHN,1990,East Asia,2,Philippines,PHL,18.728,81.3,4
China,CHN,1990,East Asia,3,South Korea,KOR,30.82,69.2,4
China,CHN,2000,East Asia,1,Indonesia,IDN,12.821,87.2,3
China,CHN,2000,East Asia,2,Philippines,PHL,14.191,85.8,4
China,CHN,2000,East Asia,3,South Korea,KOR,37.739,62.3,4
Colombia,COL,1870,Latin America,1,Chile,CHL,14.101,85.9,2
Colombia,COL,1870,Latin America,2,Peru,PER,14.33,85.7,2
Colombia,COL,1870,Latin America,3,Argentina,ARG,25.345,74.7,2
Colombia,COL,1880,Latin America,1,Brazil,BRA,3.267,96.7,2
Colombia,COL,1880,Latin America,2,Jamaica,JAM,4.084,95.9,2
Colombia,COL,1880,Latin America,3,Peru,PER,6.155,93.8,2
Colombia,COL,1890,Latin America,1,Bolivia,BOL,3.687,96.3,2
Colombia,COL,1890,Latin America,2,Jamaica,JAM,5.477,94.5,3
Colombia,COL,1890,Latin America,3,Peru,PER,6.064,93.9,3
Colombia,COL,1900,Latin America,1,Brazil,BRA,4.178,95.8,3
Colombia,COL,1900,Latin America,2,Peru,PER,6.635,93.4,2
Colombia,COL,1900,Latin America,3,Bolivia,BOL,7.011,93.0,3
Colombia,COL,1910,Latin America,1,Venezuela,VEN,5.131,94.9,3
Colombia,COL,1910,Latin America,2,Bolivia,BOL,6.891,93.1,3
Colombia,COL,1910,Latin America,3,Cuba,CUB,11.555,88.4,3
Colombia,COL,1920,Latin America,1,Bolivia,BOL,2.302,97.7,3
Colombia,COL,1920,Latin America,2,Venezuela,VEN,5.012,95.0,3
Colombia,COL,1920,Latin America,3,Jamaica,JAM,7.042,93.0,2
Colombia,COL,1930,Latin America,1,Bolivia,BOL,1.858,98.1,3
Colombia,COL,1930,Latin America,2,Peru,PER,8.54,91.5,2
Colombia,COL,1930,Latin America,3,Venezuela,VEN,8.689,91.3,3
Colombia,COL,1940,Latin America,1,Bolivia,BOL,4.533,95.5,3
Colombia,COL,1940,Latin America,2,Peru,PER,7.823,92.2,3
Colombia,COL,1940,Latin America,3,Brazil,BRA,12.619,87.4,3
Colombia,COL,1950,Latin America,1,Brazil,BRA,8.149,91.9,4
Colombia,COL,1950,Latin America,2,Peru,PER,11.359,88.6,4
Colombia,COL,1950,Latin America,3,Jamaica,JAM,14.277,85.7,3
Colombia,COL,1960,Latin America,1,Brazil,BRA,8.526,91.5,4
Colombia,COL,1960,Latin America,2,Cuba,CUB,14.61,85.4,3
Colombia,COL,1960,Latin America,3,Chile,CHL,15.043,85.0,4
Colombia,COL,1970,Latin America,1,Brazil,BRA,6.455,93.5,4
Colombia,COL,1970,Latin America,2,Peru,PER,12.888,87.1,4
Colombia,COL,1970,Latin America,3,Chile,CHL,14.346,85.7,4
Colombia,COL,1980,Latin America,1,Brazil,BRA,9.184,90.8,4
Colombia,COL,1980,Latin America,2,Peru,PER,13.817,86.2,4
Colombia,COL,1980,Latin America,3,Uruguay,URY,17.068,82.9,3
Colombia,COL,1990,Latin America,1,Brazil,BRA,8.936,91.1,4
Colombia,COL,1990,Latin America,2,Peru,PER,9.825,90.2,4
Colombia,COL,1990,Latin America,3,Jamaica,JAM,12.904,87.1,4
Colombia,COL,2000,Latin America,1,Brazil,BRA,5.071,94.9,4
Colombia,COL,2000,Latin America,2,Venezuela,VEN,8.02,92.0,3
Colombia,COL,2000,Latin America,3,Peru,PER,10.041,90.0,4
Cuba,CUB,1900,Latin America,1,Colombia,COL,8.187,91.8,2
Cuba,CUB,1900,Latin America,2,Brazil,BRA,9.217,90.8,2
Cuba,CUB,1900,Latin America,3,Chile,CHL,9.354,90.6,2
Cuba,CUB,1910,Latin America,1,Jamaica,JAM,6.552,93.4,2
Cuba,CUB,1910,Latin America,2,Peru,PER,8.405,91.6,2
Cuba,CUB,1910,Latin America,3,Colombia,COL,11.555,88.4,3
Cuba,CUB,1920,Latin America,1,Peru,PER,7.939,92.1,2
Cuba,CUB,1920,Latin America,2,Jamaica,JAM,8.079,91.9,2
Cuba,CUB,1920,Latin America,3,Colombia,COL,11.687,88.3,3
Cuba,CUB,1930,Latin America,1,Peru,PER,7.416,92.6,2
Cuba,CUB,1930,Latin America,2,Jamaica,JAM,7.805,92.2,2
Cuba,CUB,1930,Latin America,3,Colombia,COL,14.073,85.9,3
Cuba,CUB,1940,Latin America,1,Jamaica,JAM,6.61,93.4,2
Cuba,CUB,1940,Latin America,2,Colombia,COL,13.791,86.2,3
Cuba,CUB,1940,Latin America,3,Bolivia,BOL,16.58,83.4,3
Cuba,CUB,1950,Latin America,1,Jamaica,JAM,3.59,96.4,3
Cuba,CUB,1950,Latin America,2,Colombia,COL,14.771,85.2,3
Cuba,CUB,1950,Latin America,3,Brazil,BRA,15.294,84.7,3
Cuba,CUB,1960,Latin America,1,Jamaica,JAM,6.99,93.0,3
Cuba,CUB,1960,Latin America,2,Colombia,COL,14.61,85.4,3
Cuba,CUB,1960,Latin America,3,Brazil,BRA,18.564,81.4,3
Cuba,CUB,1970,Latin America,1,Jamaica,JAM,12.581,87.4,3
Cuba,CUB,1970,Latin America,2,Uruguay,URY,17.916,82.1,3
Cuba,CUB,1970,Latin America,3,Colombia,COL,19.917,80.1,3
Cuba,CUB,1980,Latin America,1,Jamaica,JAM,11.491,88.5,3
Cuba,CUB,1980,Latin America,2,Chile,CHL,17.975,82.0,3
Cuba,CUB,1980,Latin America,3,Uruguay,URY,18.458,81.5,3
Cuba,CUB,1990,Latin America,1,Uruguay,URY,11.893,88.1,3
Cuba,CUB,1990,Latin America,2,Argentina,ARG,13.155,86.8,3
Cuba,CUB,1990,Latin America,3,Jamaica,JAM,13.239,86.8,3
Cuba,CUB,2000,Latin America,1,Peru,PER,12.09,87.9,3
Cuba,CUB,2000,Latin America,2,Uruguay,URY,12.746,87.3,3
Cuba,CUB,2000,Latin America,3,Jamaica,JAM,13.33,86.7,3
Denmark,DNK,1820,Western Europe,1,France,FRA,10.829,89.2,2
Denmark,DNK,1820,Western Europe,2,Portugal,PRT,13.204,86.8,2
Denmark,DNK,1820,Western Europe,3,Belgium,BEL,17.164,82.8,2
Denmark,DNK,1840,Western Europe,1,France,FRA,12.321,87.7,2
Denmark,DNK,1840,Western Europe,2,Sweden,SWE,55.732,44.3,2
Denmark,DNK,1850,Western Europe,1,France,FRA,6.11,93.9,3
Denmark,DNK,1850,Western Europe,2,Italy,ITA,6.947,93.1,2
Denmark,DNK,1850,Western Europe,3,Belgium,BEL,8.091,91.9,3
Denmark,DNK,1860,Western Europe,1,France,FRA,9.666,90.3,2
Denmark,DNK,1860,Western Europe,2,Belgium,BEL,15.59,84.4,2
Denmark,DNK,1860,Western Europe,3,Sweden,SWE,22.518,77.5,2
Denmark,DNK,1870,Western Europe,1,Germany,DEU,8.392,91.6,2
Denmark,DNK,1870,Western Europe,2,Switzerland,CHE,13.131,86.9,3
Denmark,DNK,1870,Western Europe,3,Sweden,SWE,14.675,85.3,4
Denmark,DNK,1880,Western Europe,1,France,FRA,6.341,93.7,3
Denmark,DNK,1880,Western Europe,2,Germany,DEU,7.931,92.1,2
Denmark,DNK,1880,Western Europe,3,Switzerland,CHE,14.662,85.3,3
Denmark,DNK,1890,Western Europe,1,Germany,DEU,7.525,92.5,2
Denmark,DNK,1890,Western Europe,2,Norway,NOR,14.184,85.8,4
