country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Belgium,BEL,1960,B,5,Netherlands,NLD,13.735,86.3,5
Belgium,BEL,1970,B,1,Finland,FIN,5.885,94.1,4
Belgium,BEL,1970,B,2,Italy,ITA,10.201,89.8,5
Belgium,BEL,1970,B,3,France,FRA,10.727,89.3,5
Belgium,BEL,1970,B,4,Norway,NOR,10.77,89.2,5
Belgium,BEL,1970,B,5,Netherlands,NLD,11.501,88.5,5
Belgium,BEL,1980,B,1,Finland,FIN,7.261,92.7,5
Belgium,BEL,1980,B,2,Netherlands,NLD,8.589,91.4,5
Belgium,BEL,1980,B,3,France,FRA,8.747,91.3,5
Belgium,BEL,1980,B,4,Sweden,SWE,9.745,90.3,5
Belgium,BEL,1980,B,5,Norway,NOR,10.478,89.5,5
Belgium,BEL,1990,B,1,Finland,FIN,4.314,95.7,5
Belgium,BEL,1990,B,2,Netherlands,NLD,7.472,92.5,5
Belgium,BEL,1990,B,3,Italy,ITA,8.436,91.6,5
Belgium,BEL,1990,B,4,Denmark,DNK,8.7,91.3,5
Belgium,BEL,1990,B,5,Sweden,SWE,9.274,90.7,5
Belgium,BEL,2000,B,1,Finland,FIN,5.96,94.0,5
Belgium,BEL,2000,B,2,Sweden,SWE,5.991,94.0,5
Belgium,BEL,2000,B,3,Italy,ITA,6.317,93.7,5
Belgium,BEL,2000,B,4,Netherlands,NLD,7.225,92.8,5
Belgium,BEL,2000,B,5,France,FRA,7.297,92.7,5
Bolivia,BOL,1880,B,1,Peru,PER,4.199,95.8,2
Bolivia,BOL,1880,B,2,Brazil,BRA,4.484,95.5,2
Bolivia,BOL,1880,B,3,Philippines,PHL,4.731,95.3,2
Bolivia,BOL,1880,B,4,Jamaica,JAM,5.457,94.5,2
Bolivia,BOL,1880,B,5,Colombia,COL,6.901,93.1,2
Bolivia,BOL,1890,B,1,Russia,RUS,2.449,97.6,2
Bolivia,BOL,1890,B,2,Brazil,BRA,4.907,95.1,3
Bolivia,BOL,1890,B,3,Colombia,COL,5.397,94.6,3
Bolivia,BOL,1890,B,4,South Korea,KOR,5.612,94.4,2
Bolivia,BOL,1890,B,5,Mexico,MEX,6.106,93.9,3
Bolivia,BOL,1900,B,1,South Africa,ZAF,1.962,98.0,3
Bolivia,BOL,1900,B,2,South Korea,KOR,3.418,96.6,2
Bolivia,BOL,1900,B,3,China,CHN,6.054,93.9,3
Bolivia,BOL,1900,B,4,Peru,PER,6.561,93.4,3
Bolivia,BOL,1900,B,5,Mexico,MEX,6.811,93.2,4
Bolivia,BOL,1910,B,1,South Africa,ZAF,4.406,95.6,3
Bolivia,BOL,1910,B,2,Russia,RUS,5.357,94.6,2
Bolivia,BOL,1910,B,3,Peru,PER,7.032,93.0,3
Bolivia,BOL,1910,B,4,South Korea,KOR,7.776,92.2,2
Bolivia,BOL,1910,B,5,Colombia,COL,7.83,92.2,4
Bolivia,BOL,1920,B,1,Colombia,COL,5.391,94.6,4
Bolivia,BOL,1920,B,2,Peru,PER,7.325,92.7,3
Bolivia,BOL,1920,B,3,Jamaica,JAM,8.213,91.8,3
Bolivia,BOL,1920,B,4,South Korea,KOR,8.559,91.4,3
Bolivia,BOL,1920,B,5,Philippines,PHL,9.288,90.7,3
Bolivia,BOL,1930,B,1,Colombia,COL,4.777,95.2,4
Bolivia,BOL,1930,B,2,South Africa,ZAF,5.06,94.9,3
Bolivia,BOL,1930,B,3,Russia,RUS,5.133,94.9,3
Bolivia,BOL,1930,B,4,Peru,PER,6.692,93.3,3
Bolivia,BOL,1930,B,5,Poland,POL,7.878,92.1,3
Bolivia,BOL,1940,B,1,Poland,POL,3.984,96.0,2
Bolivia,BOL,1940,B,2,Colombia,COL,5.695,94.3,4
Bolivia,BOL,1940,B,3,Peru,PER,5.713,94.3,4
Bolivia,BOL,1940,B,4,Philippines,PHL,6.427,93.6,3
